id,away_club_id,away_club_goals
2457642,610,0
2458308,18,3
2458309,39,9
2458310,35,3
2458311,60,2
2458312,83,5
2458313,27,4
2458314,23,1
2458315,72,2
2458316,15,6
2458317,33,1
2458318,167,0
2458319,79,0
2458320,4,0
2458321,44,4
2458322,16,4
2458323,86,3
2458324,127,1
2458325,293,8
2458326,2,5
2458327,82,5
2458328,38,2
2458329,94,1
2458330,533,9
2458331,48,3
2458332,254,1
2458333,42,3
2458334,89,1
2458335,4795,2
2458336,3,4
2458337,41,6
2458338,65,3
2458528,338,0
2458586,281,0
2459586,200,0
2459587,1455,2
2459588,317,1
2459589,798,1
2459590,1090,3
2459591,234,1
2459592,202,3
2459593,499,1
2459594,383,3
2459595,306,1
2459596,132,1
2459597,1269,2
2459598,1268,2
2459599,133,2
2459600,610,3
2459601,403,1
2459602,1435,2
2459603,1304,1
2459604,133,1
2459605,1090,0
2459606,798,0
2459607,200,2
2459608,1455,0
2459609,499,1
2459610,317,1
2459611,202,0
2459612,383,3
2459613,403,0
2459614,1268,2
2459615,1090,3
2459616,1304,1
2459617,200,1
2459618,499,0
2459619,1269,1
2459620,610,0
2459621,234,0
2459622,1304,1
2459623,1435,1
2459624,306,1
2459625,403,2
2459626,383,1
2459627,1268,0
2459628,202,0
2459629,798,1
2459630,132,1
2459631,132,1
2459632,1455,1
2459633,1435,1
2459634,306,1
2459635,317,4
2459636,1269,0
2459637,610,1
2459638,133,0
2459639,202,0
2459640,499,6
2459641,1304,2
2459642,234,4
2459643,610,5
2459644,1090,3
2459645,133,1
2459646,403,0
2459647,200,1
2459648,383,0
2459649,1268,1
2459650,132,1
2459651,1455,1
2459652,306,1
2459653,1435,3
2459654,798,0
2459655,317,2
2459656,202,0
2459657,1269,0
2459658,499,4
2459659,1090,0
2459660,1304,1
2459661,1268,1
2459662,610,1
2459663,133,2
2459664,200,3
2459665,1269,2
2459666,798,1
2459667,1455,0
2459668,132,2
2459669,403,3
2459670,1435,1
2459671,234,1
2459672,383,5
2459673,202,2
2459674,306,2
2459675,317,1
2459676,1304,3
2459677,1455,0
2459678,1269,0
2459679,306,0
2459680,1268,0
2459681,499,1
2459682,133,1
2459683,798,3
2459684,132,0
2459685,200,2
2459686,403,2
2459687,1435,2
2459688,1090,1
2459689,610,4
2459690,317,4
2459691,202,0
2459692,234,0
2459693,383,2
2459694,132,0
2459695,499,0
2459696,1455,0
2459697,798,1
2459698,306,1
2459699,383,1
2459700,317,2
2459701,1268,1
2459702,133,3
2459703,403,4
2459704,1304,1
2459705,200,5
2459706,1435,2
2459707,1090,2
2459708,610,1
2459709,1269,5
2459710,202,2
2459711,234,3
2459712,1435,0
2459713,234,5
2459714,132,1
2459715,383,3
2459716,403,0
2459717,1268,1
2459718,1304,4
2459719,306,1
2459720,317,2
2459721,1455,1
2459722,306,2
2459723,798,2
2459724,1090,2
2459725,133,2
2459726,200,1
2459727,317,0
2459728,499,1
2459729,1269,1
2459730,1268,0
2459731,1269,1
2459732,202,1
2459733,1435,0
2459734,200,3
2459735,1304,0
2459736,234,1
2459737,610,2
2459738,403,2
2459739,202,0
2459740,132,1
2459741,1455,0
2459742,133,2
2459743,383,1
2459744,1435,0
2459745,306,2
2459746,317,1
2459747,798,3
2459748,1304,0
2459749,383,2
2459750,798,0
2459751,1090,1
2459752,499,1
2459753,234,0
2459754,403,0
2459755,200,2
2459756,1268,0
2459757,1435,0
2459758,403,1
2459759,306,0
2459760,132,0
2459761,133,1
2459762,1268,1
2459763,1269,2
2459764,610,0
2459765,1304,1
2459766,798,0
2459767,383,2
2459768,234,1
2459769,317,0
2459770,1455,0
2459771,499,2
2459772,200,0
2459773,202,2
2459774,1090,1
2459775,1268,0
2459776,798,3
2459777,1269,0
2459778,499,1
2459779,200,1
2459780,133,1
2459781,1304,0
2459782,610,2
2459783,1090,4
2459784,383,4
2459785,234,0
2459786,202,1
2459787,403,0
2459788,132,2
2459789,306,1
2459790,1455,1
2459791,1435,1
2459792,317,2
2459793,133,1
2459794,1269,2
2459795,1090,2
2459796,1455,0
2459797,200,1
2459798,610,1
2459799,202,1
2459800,499,2
2459801,798,2
2459802,1435,1
2459803,1269,1
2459804,403,0
2459805,132,1
2459806,1304,0
2459807,306,0
2459808,234,0
2459809,1268,1
2459810,610,3
2459811,317,2
2459812,383,3
2459813,499,1
2459814,306,1
2459815,133,1
2459816,1455,0
2459817,132,0
2459818,798,0
2459819,1090,2
2459820,1090,1
2459821,202,1
2459822,200,1
2459823,1435,0
2459824,403,3
2459825,1269,0
2459826,610,4
2459827,1304,3
2459828,234,2
2459829,132,4
2459830,499,2
2459831,1455,1
2459832,306,4
2459833,133,1
2459834,1268,0
2459835,383,1
2459836,317,2
2459837,798,1
2459838,403,0
2459839,202,1
2459840,132,0
2459841,1304,3
2459842,383,5
2459843,610,1
2459844,234,4
2459845,1268,3
2459846,1435,0
2459847,1269,1
2459848,499,3
2459849,1090,2
2459850,1455,2
2459851,610,2
2459852,234,2
2459853,317,3
2459854,133,2
2459855,200,0
2459856,798,1
2459857,1268,1
2459858,306,1
2459859,1455,0
2459860,202,4
2459861,1435,1
2459862,1269,0
2459863,132,0
2459864,317,0
2459865,499,0
2459866,403,1
2459867,1304,3
2459868,200,2
2459869,383,3
2459870,133,0
2459871,610,1
2459872,234,1
2459873,1090,2
2459874,798,2
2459875,499,4
2459876,132,2
2459877,1268,0
2459878,306,1
2459879,133,0
2459880,1304,0
2459881,1269,1
2459882,1455,0
2459883,317,3
2459884,403,2
2459885,610,1
2459886,202,5
2459887,234,0
2459888,1090,4
2459889,1435,0
2459890,200,3
2459891,383,3
2460296,873,1
2460297,631,3
2460298,29,2
2460299,180,1
2460300,2288,2
2460301,281,2
2460302,3008,1
2460303,405,1
2460304,289,2
2460305,148,1
2460497,12460,3
2460498,8956,3
2460499,365,4
2460500,6621,0
2460501,30037,0
2460502,11435,1
2460503,10480,2
2460504,1242,2
2460505,10262,1
2460506,42246,0
2460507,271,0
2460508,18506,3
2460509,27116,0
2460510,4391,2
2460511,10639,0
2460512,10616,0
2460513,2573,1
2460514,2714,1
2460515,22220,4
2460516,22140,1
2460517,5228,0
2460518,1092,1
2460519,3471,2
2460520,22783,1
2460521,27118,0
2460522,21541,0
2460523,6181,0
2460524,1293,7
2460525,3850,1
2460526,3649,0
2460527,6066,2
2460528,3463,0
2460529,5411,1
2460530,8780,0
2460531,9828,1
2460532,11976,0
2460533,23088,1
2460534,13418,0
2460535,10531,2
2460536,13278,1
2460537,10604,0
2460538,11910,0
2460539,433,5
2460540,19627,1
2460541,4807,0
2460542,22010,0
2460543,9241,4
2460544,163,1
2460545,36136,0
2460546,28633,0
2460547,10482,0
2460548,11479,0
2460549,420,1
2460550,2531,2
2460551,12859,0
2460552,1167,0
2460553,329,1
2460554,10301,0
2460555,789,3
2460556,11914,1
2460557,1102,0
2460558,10532,1
2460559,3832,2
2460560,195,2
2460561,920,5
2460562,370,3
2460563,34711,1
2460564,21532,2
2460565,21875,4
2460566,1257,1
2460567,2688,0
2460568,1185,3
2460569,22832,2
2460570,23559,0
2460571,24832,1
2460572,801,2
2460573,2761,1
2460574,279,1
2460575,5862,1
2460576,779,0
2460577,12132,0
2460578,2578,1
2460579,7153,1
2460580,448,0
2460581,3776,2
2460582,687,1
2460583,697,1
2460584,7769,1
2460585,434,5
2460586,3508,3
2460587,7918,0
2460589,11411,0
2460590,4313,1
2460591,5771,1
2460592,10854,2
2460593,38204,2
2460594,24349,0
2460598,12469,0
2460599,10734,0
2460600,10157,1
2460601,790,0
2460602,3070,0
2460603,2782,0
2460604,3237,0
2460605,84,0
2460606,1189,1
2460607,1008,0
2460608,602,0
2460609,853,0
2460610,10625,1
2460611,301,1
2460612,713,1
2460613,663,0
2460614,6808,0
2460615,2481,3
2460616,496,1
2460617,540,2
2460618,371,1
2460619,1251,0
2460620,255,5
2460621,4641,1
2460622,419,2
2460623,31614,1
2460624,6335,0
2460625,2817,0
2460626,82,1
2460627,15,2
2460628,79,1
2460629,167,0
2460630,33,1
2460631,86,2
2460632,60,0
2460633,41,0
2460634,39,2
2460635,27,1
2460636,44,2
2460637,24,2
2460638,42,0
2460639,16,3
2460640,533,1
2460641,18,0
2460642,3,2
2460643,127,3
2460644,79,0
2460645,60,1
2460646,86,3
2460647,33,1
2460648,82,1
2460649,41,0
2460650,39,3
2460651,167,1
2460652,3,0
2460653,24,2
2460654,15,1
2460655,16,0
2460656,86,2
2460657,44,2
2460658,27,0
2460659,533,2
2460660,18,0
2460661,42,0
2460662,127,0
2460663,79,2
2460664,167,0
2460665,41,0
2460666,60,3
2460667,3,0
2460668,82,0
2460669,33,3
2460670,39,2
2460671,16,1
2460672,86,1
2460673,533,0
2460674,44,0
2460675,15,0
2460676,42,0
2460677,24,2
2460678,27,2
2460679,18,2
2460680,42,0
2460681,41,1
2460682,127,2
2460683,167,0
2460684,39,1
2460685,33,1
2460686,79,2
2460687,60,1
2460688,3,2
2460689,86,0
2460690,44,0
2460691,167,1
2460692,18,3
2460693,82,2
2460694,15,3
2460695,533,1
2460696,16,1
2460697,24,1
2460698,42,1
2460699,33,0
2460700,39,0
2460701,27,0
2460702,60,0
2460703,127,0
2460704,41,0
2460705,3,1
2460706,79,5
2460707,16,1
2460708,167,0
2460709,533,1
2460710,86,2
2460711,24,0
2460712,82,4
2460713,15,0
2460714,60,1
2460715,44,1
2460716,18,0
2460717,39,0
2460718,41,0
2460719,127,0
2460720,3,4
2460721,42,2
2460722,79,0
2460723,27,4
2460724,33,0
2460725,533,0
2460726,82,2
2460727,24,3
2460728,60,2
2460729,15,3
2460730,167,1
2460731,86,0
2460732,44,2
2460733,16,2
2460734,39,1
2460735,3,1
2460736,18,0
2460737,41,1
2460738,42,3
2460739,27,1
2460740,127,0
2460741,16,0
2460742,79,4
2460743,15,0
2460744,533,0
2460745,44,2
2460746,82,3
2460747,86,2
2460748,33,4
2460749,39,1
2460750,167,2
2460751,60,1
2460752,3,2
2460753,18,1
2460754,127,1
2460755,79,1
2460756,27,4
2460757,24,2
2460758,16,0
2460759,42,3
2460760,41,0
2460761,60,0
2460762,82,2
2460763,86,1
2460764,15,1
2460765,167,0
2460766,44,4
2460767,79,1
2460768,39,0
2460769,33,2
2460770,41,0
2460771,24,1
2460772,3,1
2460773,27,2
2460774,18,1
2460775,533,5
2460776,16,1
2460777,42,2
2460778,127,0
2460779,42,0
2460780,16,0
2460781,27,1
2460782,127,0
2460783,533,1
2460784,44,0
2460785,24,1
2460786,18,1
2460787,3,2
2460788,33,1
2460789,167,1
2460790,60,0
2460791,86,2
2460792,39,1
2460793,15,1
2460794,82,1
2460795,79,0
2460796,41,3
2460797,18,0
2460798,533,0
2460799,44,2
2460800,24,2
2460801,15,1
2460802,16,3
2460803,27,2
2460804,42,1
2460805,127,0
2460806,41,0
2460807,39,2
2460808,82,5
2460809,3,0
2460810,79,1
2460811,127,2
2460812,60,2
2460813,167,2
