id,home_club_id,home_club_goals
2457642,1269,1
2458308,459,1
2458309,21,10
2458310,562,1
2458311,104,0
2458312,5560,4
2458313,91,1
2458314,1328,0
2458315,269,1
2458316,5446,0
2458317,129,2
2458318,187,1
2458319,80,2
2458320,52,1
2458321,1622,2
2458322,71,1
2458323,1468,2
2458324,23826,2
2458325,63,7
2458326,108,3
2458327,105,4
2458328,1557,3
2458329,113,0
2458330,6150,0
2458331,1279,1
2458332,10,4
2458333,1348,1
2458334,2036,2
2458335,107,4
2458336,5460,0
2458337,25,3
2458338,9487,0
2458528,660,2
2458586,11,3
2459586,1269,2
2459587,306,1
2459588,133,1
2459589,132,1
2459590,1304,0
2459591,1268,0
2459592,1435,2
2459593,610,4
2459594,403,1
2459595,234,1
2459596,383,6
2459597,1455,1
2459598,317,2
2459599,499,2
2459600,1090,1
2459601,200,2
2459602,798,3
2459603,202,3
2459604,1304,0
2459605,403,3
2459606,306,2
2459607,234,1
2459608,1435,0
2459609,1269,2
2459610,132,1
2459611,1268,3
2459612,610,1
2459613,1435,1
2459614,133,3
2459615,1455,1
2459616,798,3
2459617,306,3
2459618,383,2
2459619,132,3
2459620,202,2
2459621,317,0
2459622,610,2
2459623,317,2
2459624,1090,0
2459625,234,1
2459626,1269,3
2459627,200,0
2459628,133,3
2459629,499,3
2459630,1455,0
2459631,403,2
2459632,798,1
2459633,1268,1
2459634,499,1
2459635,1304,1
2459636,1090,1
2459637,234,0
2459638,383,4
2459639,200,1
2459640,1455,2
2459641,1269,4
2459642,1435,0
2459643,132,2
2459644,1268,2
2459645,798,1
2459646,202,1
2459647,317,3
2459648,306,1
2459649,499,6
2459650,1304,6
2459651,133,4
2459652,403,2
2459653,200,2
2459654,383,3
2459655,1090,2
2459656,234,4
2459657,610,0
2459658,403,1
2459659,383,3
2459660,234,2
2459661,132,1
2459662,317,1
2459663,306,2
2459664,1455,1
2459665,1435,3
2459666,202,1
2459667,1268,2
2459668,499,2
2459669,1304,1
2459670,610,3
2459671,133,0
2459672,200,1
2459673,1090,2
2459674,1269,2
2459675,798,2
2459676,1435,1
2459677,610,4
2459678,234,2
2459679,317,2
2459680,383,1
2459681,200,3
2459682,403,1
2459683,1090,3
2459684,202,1
2459685,798,2
2459686,1268,3
2459687,306,2
2459688,132,0
2459689,133,2
2459690,1455,0
2459691,1269,2
2459692,499,0
2459693,1304,1
2459694,1435,2
2459695,1090,1
2459696,234,2
2459697,403,1
2459698,610,4
2459699,202,1
2459700,1269,1
2459701,1304,3
2459702,200,1
2459703,1455,0
2459704,306,0
2459705,132,1
2459706,499,2
2459707,133,0
2459708,1268,1
2459709,798,0
2459710,317,1
2459711,383,4
2459712,1090,2
2459713,798,2
2459714,133,0
2459715,1455,1
2459716,610,5
2459717,1269,3
2459718,200,2
2459719,202,1
2459720,499,2
2459721,1304,1
2459722,132,0
2459723,1268,2
2459724,234,2
2459725,1435,1
2459726,610,3
2459727,383,2
2459728,202,1
2459729,403,0
2459730,306,0
2459731,133,2
2459732,1455,1
2459733,383,5
2459734,1090,0
2459735,499,3
2459736,132,0
2459737,798,0
2459738,317,3
2459739,610,2
2459740,1269,4
2459741,1090,2
2459742,1268,2
2459743,499,0
2459744,403,1
2459745,200,1
2459746,234,3
2459747,1304,0
2459748,317,2
2459749,133,1
2459750,1455,1
2459751,1269,1
2459752,306,4
2459753,610,0
2459754,132,0
2459755,202,2
2459756,1435,1
2459757,202,2
2459758,383,2
2459759,1455,0
2459760,798,0
2459761,317,2
2459762,234,2
2459763,200,0
2459764,499,1
2459765,1090,3
2459766,1435,0
2459767,132,0
2459768,306,3
2459769,1268,2
2459770,1269,4
2459771,133,0
2459772,403,1
2459773,1304,2
2459774,610,0
2459775,1455,0
2459776,317,1
2459777,306,4
2459778,132,0
2459779,383,3
2459780,234,2
2459781,403,3
2459782,1435,1
2459783,202,2
2459784,1090,2
2459785,1304,2
2459786,798,1
2459787,499,2
2459788,1268,3
2459789,133,2
2459790,200,6
2459791,1269,0
2459792,610,4
2459793,132,2
2459794,1268,3
2459795,1435,0
2459796,383,3
2459797,1304,1
2459798,403,1
2459799,306,3
2459800,317,1
2459801,234,3
2459802,1455,2
2459803,499,2
2459804,1090,2
2459805,317,1
2459806,133,1
2459807,798,3
2459808,200,0
2459809,202,1
2459810,383,1
2459811,403,2
2459812,1435,0
2459813,1304,1
2459814,1268,0
2459815,1269,6
2459816,202,2
2459817,234,3
2459818,610,1
2459819,200,6
2459820,499,3
2459821,383,2
2459822,133,3
2459823,132,1
2459824,798,2
2459825,317,2
2459826,306,1
2459827,1268,1
2459828,1455,1
2459829,200,3
2459830,1435,0
2459831,403,2
2459832,1304,1
2459833,1090,2
2459834,610,1
2459835,234,2
2459836,202,2
2459837,1269,1
2459838,1269,1
2459839,499,1
2459840,306,0
2459841,1455,2
2459842,317,0
2459843,200,1
2459844,1090,1
2459845,798,2
2459846,133,1
2459847,383,3
2459848,798,1
2459849,306,5
2459850,132,2
2459851,1304,0
2459852,403,2
2459853,1435,1
2459854,202,3
2459855,1268,2
2459856,133,1
2459857,1090,3
2459858,383,4
2459859,499,3
2459860,403,1
2459861,234,0
2459862,1304,2
2459863,610,0
2459864,200,1
2459865,1268,1
2459866,306,1
2459867,132,1
2459868,1435,0
2459869,798,2
2459870,1455,0
2459871,1269,1
2459872,202,1
2459873,317,0
2459874,200,2
2459875,234,1
2459876,1090,3
2459877,403,1
2459878,1435,1
2459879,610,3
2459880,383,2
2459881,202,0
2459882,317,3
2459883,306,1
2459884,133,1
2459885,1455,2
2459886,132,4
2459887,1269,3
2459888,798,1
2459889,1304,1
2459890,499,3
2459891,1268,2
2460296,11,2
2460297,1132,1
2460298,1003,2
2460299,31,2
2460300,985,1
2460301,762,0
2460302,1039,0
2460303,512,0
2460304,984,2
2460305,379,0
2460497,10531,2
2460498,13278,2
2460499,10604,2
2460500,11910,0
2460501,433,4
2460502,19627,0
2460503,4807,1
2460504,22010,0
2460505,9241,2
2460506,163,3
2460507,36136,0
2460508,28633,0
2460509,10482,1
2460510,11479,1
2460511,420,2
2460512,2531,4
2460513,12859,0
2460514,1167,2
2460515,10301,1
2460516,789,1
2460517,11914,1
2460518,1102,2
2460519,10532,1
2460520,3832,0
2460521,195,4
2460522,920,4
2460523,370,5
2460524,34711,0
2460525,21532,3
2460526,21875,4
2460527,1257,0
2460528,1185,3
2460529,22832,2
2460530,23559,0
2460531,24832,2
2460532,801,0
2460533,2761,2
2460534,2688,1
2460535,12460,1
2460536,8956,3
2460537,365,5
2460538,6621,4
2460539,30037,0
2460540,11435,3
2460541,10480,4
2460542,1242,3
2460543,10262,1
2460544,42246,0
2460545,271,3
2460546,18506,2
2460547,27116,0
2460548,4391,3
2460549,10639,1
2460550,10616,0
2460551,2573,0
2460552,2714,2
2460553,279,2
2460554,22220,2
2460555,22140,4
2460556,5228,3
2460557,1092,2
2460558,3471,1
2460559,22783,2
2460560,27118,0
2460561,21541,0
2460562,6181,0
2460563,1293,6
2460564,3850,1
2460565,3649,0
2460566,6066,3
2460567,13418,0
2460568,3463,2
2460569,5411,3
2460570,8780,4
2460571,9828,1
2460572,11976,0
2460573,23088,1
2460574,329,1
2460575,687,4
2460576,697,3
2460577,7769,0
2460578,434,1
2460579,3508,2
2460580,7918,4
2460581,6676,4
2460582,5862,1
2460583,779,0
2460584,12132,0
2460585,2578,6
2460586,7153,1
2460587,448,3
2460589,10854,1
2460590,38204,1
2460591,24349,0
2460592,11411,3
2460593,4313,5
2460594,5771,7
2460598,713,0
2460599,540,1
2460600,663,0
2460601,6808,0
2460602,2481,2
2460603,496,0
2460604,371,4
2460605,1251,0
2460606,255,1
2460607,4641,0
2460608,419,2
2460609,31614,4
2460610,6335,0
2460611,2817,0
2460612,12469,1
2460613,10157,3
2460614,790,2
2460615,3070,0
2460616,2782,0
2460617,10734,0
2460618,3237,0
2460619,84,2
2460620,1189,0
2460621,1008,2
2460622,602,0
2460623,853,1
2460624,10625,4
2460625,301,2
2460626,27,2
2460627,16,0
2460628,18,1
2460629,533,2
2460630,42,2
2460631,44,2
2460632,24,1
2460633,3,0
2460634,127,2
2460635,33,1
2460636,15,4
2460637,82,2
2460638,39,0
2460639,167,2
2460640,86,1
2460641,60,0
2460642,79,0
2460643,41,0
2460644,27,2
2460645,16,3
2460646,15,3
2460647,18,4
2460648,533,1
2460649,42,2
2460650,44,1
2460651,24,0
2460652,127,0
2460653,33,2
2460654,82,4
2460655,39,2
2460656,167,4
2460657,60,2
2460658,41,0
2460659,79,0
2460660,3,0
2460661,127,2
2460662,27,4
2460663,16,2
2460664,15,1
2460665,18,1
2460666,533,3
2460667,42,1
2460668,44,1
2460669,86,0
2460670,24,2
2460671,33,2
2460672,82,2
2460673,39,0
2460674,167,1
2460675,60,0
2460676,79,1
2460677,41,1
2460678,3,0
2460679,127,1
2460680,27,4
2460681,16,0
2460682,15,2
2460683,82,1
2460684,18,1
2460685,533,2
2460686,44,3
2460687,86,1
2460688,24,3
2460689,27,6
2460690,33,2
2460691,39,2
2460692,42,0
2460693,60,1
2460694,79,3
2460695,41,1
2460696,3,2
2460697,127,3
2460698,16,0
2460699,15,1
2460700,82,3
2460701,18,0
2460702,167,2
2460703,533,1
2460704,44,3
2460705,86,0
2460706,24,4
2460707,27,2
2460708,33,1
2460709,18,3
2460710,39,1
2460711,42,1
2460712,79,0
2460713,41,1
2460714,3,0
2460715,127,3
2460716,16,1
2460717,15,0
2460718,82,2
2460719,167,3
2460720,533,3
2460721,44,0
2460722,86,2
2460723,24,0
2460724,60,2
2460725,27,4
2460726,33,3
2460727,18,1
2460728,39,2
2460729,42,1
2460730,79,0
2460731,41,2
2460732,3,1
2460733,127,2
2460734,33,4
2460735,15,5
2460736,82,1
2460737,167,3
2460738,533,4
2460739,44,0
2460740,86,4
2460741,24,2
2460742,60,1
2460743,27,1
2460744,16,1
2460745,18,3
2460746,42,1
2460747,24,5
2460748,79,0
2460749,41,2
2460750,3,1
2460751,127,1
2460752,33,1
2460753,15,1
2460754,82,1
2460755,39,1
2460756,167,0
2460757,533,3
2460758,44,1
2460759,86,3
2460760,60,0
2460761,27,2
2460762,16,2
2460763,18,4
2460764,533,0
2460765,42,2
2460766,24,4
2460767,41,0
2460768,3,0
2460769,127,1
2460770,33,0
2460771,15,1
2460772,82,2
2460773,39,1
2460774,167,2
2460775,44,0
2460776,86,2
2460777,60,2
2460778,79,0
2460779,33,1
2460780,15,0
2460781,82,4
2460782,39,5
2460783,167,3
2460784,86,2
2460785,60,4
2460786,79,0
2460787,41,0
2460788,27,1
2460789,16,0
2460790,18,1
2460791,533,1
2460792,42,1
2460793,44,0
2460794,24,1
2460795,3,0
2460796,127,0
2460797,33,1
2460798,82,3
2460799,39,0
2460800,167,2
2460801,86,2
2460802,60,0
2460803,79,0
2460804,41,2
2460805,3,0
2460806,27,8
2460807,16,4
2460808,15,4
2460809,18,1
2460810,533,2
2460811,42,1
2460812,44,0
2460813,86,3
2460814,24,1
2460815,33,1
2460816,82,2
2460817,39,3
2460818,167,2
2460819,60,1
2460820,79,2
2460821,41,1
2460822,3,1
2460823,127,0
2460824,27,4
2460825,16,3
2460826,15,1
2460827,18,2
2460828,533,2
2460829,42,1
2460830,44,1
2460831,86,3
2460832,24,2
2460833,33,3
2460834,39,2
2460835,167,1
2460836,42,1
2460837,60,0
2460838,79,0
2460839,41,0
2460840,3,4
2460841,127,0
2460842,16,0
2460843,15,4
2460844,82,3
2460845,18,2
2460846,167,0
2460847,533,3
2460848,44,2
2460849,86,0
2460850,24,4
2460851,27,0
2460852,33,0
2460853,39,1
2460854,42,2
2460855,60,2
2460856,79,3
2460857,41,0
2460858,3,1
2460859,127,0
2460860,16,0
2460861,15,4
2460862,82,3
2460863,167,0
2460864,533,1
2460865,44,2
2460866,86,0
2460867,24,2
2460868,60,1
2460869,27,3
2460870,33,0
2460871,18,3
2460872,39,2
2460873,42,1
2460874,79,3
2460875,41,0
2460876,3,3
2460877,127,2
2460878,16,3
2460879,15,4
2460880,82,1
2460881,167,2
2460882,533,0
2460883,44,0
2460884,86,1
2460885,24,0
2460886,60,2
2460887,27,1
2460888,16,2
2460889,18,1
2460890,39,2
2460891,42,1
2460892,79,2
2460893,41,3
2460894,3,1
2460895,127,2
2460896,33,3
2460897,15,2
2460898,82,2
2460899,39,1
2460900,167,0
2460901,533,1
2460902,44,1
2460903,86,1
2460904,60,1
2460905,27,0
2460906,16,2
2460907,18,3
2460908,42,1
2460909,24,3
2460910,79,2
2460911,41,1
2460912,3,2
2460913,127,1
2460914,33,1
2460915,15,2
2460916,82,2
2460917,39,2
2460918,167,1
2460919,44,0
2460920,86,0
2460921,60,2
2460922,79,2
2460923,27,2
2460924,16,3
2460925,18,1
2460926,533,2
2460927,42,2
2460928,24,2
2460929,41,2
2460930,3,2
2460931,127,1
2464767,982,0
2464768,720,2
2464769,1075,3
2464770,2990,1
2464771,8024,1
2464772,294,2
2464773,2424,1
2464774,2425,2
2464775,3327,1
2464776,1301,2
2464777,1465,1
2464778,2995,0
2464779,336,1
2464780,2503,0
2464781,979,0
2464782,1085,2
2464783,720,3
2464784,1075,2
2464785,2457,0
2464786,2990,1
2464787,294,1
2464788,2424,1
2464789,982,2
2464790,2425,4
2464791,3327,0
2464792,1465,2
2464793,8024,1
2464794,2995,1
2464795,2420,1
2464796,1301,2
2464797,979,1
2464798,2503,1
2464799,336,1
2464800,1085,0
2465442,7116,1
2465443,10790,4
2465444,11495,4
2465445,32534,1
2465446,32713,1
2465447,44687,1
2465448,20945,3
2465449,7294,1
2465450,44688,6
2465451,11055,0
2465452,2815,6
2465453,13642,2
2465454,2826,2
2465455,21292,1
2465456,6549,1
2465457,9547,0
2465458,7534,2
2465459,19231,6
2465460,8994,4
2465461,12285,7
2465477,197,7
2465478,5771,1
2465492,669,3
2465493,4313,1
2466840,2990,2
2466841,2457,1
2466842,294,3
2466843,2424,0
2466844,3327,2
2466845,2425,1
2466846,720,0
2466847,982,1
2466848,2420,1
2466849,2503,3
2466850,1075,3
