players_id,games_id,id,competitions_id,clubs_id,goals,assists,minutes_played,yellow_cards,red_cards
550550,3621351,3621351_550550,PO1,294,0,0,90,0,0
550550,3621356,3621356_550550,PO1,294,0,0,33,0,0
550550,3621369,3621369_550550,PO1,294,0,1,90,0,0
550550,3621375,3621375_550550,PO1,294,0,0,75,0,0
550550,3621420,3621420_550550,PO1,294,0,0,3,0,0
550550,3621436,3621436_550550,PO1,294,0,0,20,0,0
550550,3621417,3621417_550550,PO1,294,0,0,45,0,0
550550,3621473,3621473_550550,PO1,294,0,0,25,1,0
550550,3621442,3621442_550550,PO1,294,0,0,1,0,0
550550,3621482,3621482_550550,PO1,294,0,0,4,0,0
188862,3602416,3602416_188862,RU1,121,0,0,7,0,0
188862,3602434,3602434_188862,RU1,121,0,0,45,1,0
188862,3602444,3602444_188862,RU1,121,0,0,90,0,0
188862,3602449,3602449_188862,RU1,121,0,0,90,0,0
188862,3602457,3602457_188862,RU1,121,0,0,90,1,0
188862,3602465,3602465_188862,RU1,121,0,0,90,0,0
550550,3621491,3621491_550550,PO1,294,1,0,13,0,0
550550,3621465,3621465_550550,PO1,294,0,0,66,0,0
550550,3621446,3621446_550550,PO1,294,0,0,59,0,0
550550,3621504,3621504_550550,PO1,294,0,0,8,0,0
550550,3621563,3621563_550550,PO1,294,1,0,15,0,0
550550,3621513,3621513_550550,PO1,294,1,0,90,0,0
366278,3621375,3621375_366278,PO1,294,0,0,27,0,0
130257,3597887,3597887_130257,NL1,403,0,0,6,0,0
188862,3602474,3602474_188862,RU1,121,0,1,90,1,0
188862,3602480,3602480_188862,RU1,121,0,0,90,0,0
188862,3602486,3602486_188862,RU1,121,0,0,90,0,0
188862,3602497,3602497_188862,RU1,121,0,0,68,0,0
188862,3602502,3602502_188862,RU1,121,0,0,90,0,0
188862,3602523,3602523_188862,RU1,121,0,0,25,0,0
188862,3602528,3602528_188862,RU1,121,0,0,90,1,0
188862,3602546,3602546_188862,RU1,121,0,1,90,0,0
550550,3654700,3654700_550550,POCP,294,0,1,90,0,0
550550,3654704,3654704_550550,POCP,294,0,1,81,0,0
550550,3716649,3716649_550550,POCP,294,0,0,27,0,0
550550,3741058,3741058_550550,POCP,294,0,0,29,0,0
98547,3602454,3602454_98547,RU1,964,0,0,90,0,0
98547,3602466,3602466_98547,RU1,964,0,0,90,0,0
98547,3602470,3602470_98547,RU1,964,0,0,90,0,0
98547,3602478,3602478_98547,RU1,964,0,0,90,0,0
98547,3602491,3602491_98547,RU1,964,0,0,90,0,0
98547,3602494,3602494_98547,RU1,964,0,0,90,0,0
98547,3602502,3602502_98547,RU1,964,0,0,90,0,0
318470,3589521,3589521_318470,RU1,16704,0,0,90,0,0
318470,3602414,3602414_318470,RU1,16704,0,0,90,0,0
318470,3602440,3602440_318470,RU1,16704,0,0,90,0,0
318470,3602448,3602448_318470,RU1,16704,0,0,90,0,0
318470,3602456,3602456_318470,RU1,16704,0,0,90,0,0
318470,3602464,3602464_318470,RU1,16704,0,0,90,0,0
318470,3602473,3602473_318470,RU1,16704,0,0,90,0,0
318470,3602479,3602479_318470,RU1,16704,0,0,90,0,0
318470,3602487,3602487_318470,RU1,16704,0,0,90,0,0
318470,3602500,3602500_318470,RU1,16704,0,0,90,1,0
109256,3621375,3621375_109256,PO1,294,0,0,15,0,0
109256,3621442,3621442_109256,PO1,294,2,0,47,0,0
109256,3621460,3621460_109256,PO1,294,0,0,45,0,0
109256,3621491,3621491_109256,PO1,294,1,1,12,0,0
109256,3621465,3621465_109256,PO1,294,0,0,24,0,0
